,index,start,end,meas,std,flag,start_date,end_date
0,0,0.0,0.041667,122.394,0.779,0.0,2020-01-01 00:00:00.000000,2020-01-01 01:00:00.028800
1,1,0.041667,0.083333,122.088,0.921,0.0,2020-01-01 01:00:00.028800,2020-01-01 01:59:59.971200
2,2,0.083333,0.125,121.454,0.778,0.0,2020-01-01 01:59:59.971200,2020-01-01 03:00:00.000000
3,3,0.125,0.166667,121.519,0.793,0.0,2020-01-01 03:00:00.000000,2020-01-01 04:00:00.028800
4,4,0.166667,0.208333,121.222,0.801,0.0,2020-01-01 04:00:00.028800,2020-01-01 04:59:59.971200
5,5,0.208333,0.25,121.273,0.838,0.0,2020-01-01 04:59:59.971200,2020-01-01 06:00:00.000000
6,6,0.25,0.291667,120.903,0.896,0.0,2020-01-01 06:00:00.000000,2020-01-01 07:00:00.028800
7,7,0.291667,0.333333,121.183,1.015,0.0,2020-01-01 07:00:00.028800,2020-01-01 07:59:59.971200
8,8,0.333333,0.375,121.253,0.972,0.0,2020-01-01 07:59:59.971200,2020-01-01 09:00:00.000000
9,9,0.375,0.416667,121.463,0.783,0.0,2020-01-01 09:00:00.000000,2020-01-01 10:00:00.028800
10,10,0.416667,0.458333,121.662,1.052,0.0,2020-01-01 10:00:00.028800,2020-01-01 10:59:59.971200
11,11,0.458333,0.5,121.607,0.907,0.0,2020-01-01 10:59:59.971200,2020-01-01 12:00:00.000000
12,12,0.5,0.541667,121.665,0.808,0.0,2020-01-01 12:00:00.000000,2020-01-01 13:00:00.028800
13,13,0.541667,0.583333,121.388,0.881,0.0,2020-01-01 13:00:00.028800,2020-01-01 13:59:59.971200
14,14,0.583333,0.625,121.656,0.793,0.0,2020-01-01 13:59:59.971200,2020-01-01 15:00:00.000000
15,15,0.625,0.666667,121.751,0.878,0.0,2020-01-01 15:00:00.000000,2020-01-01 16:00:00.028800
16,16,0.666667,0.708333,121.549,0.751,0.0,2020-01-01 16:00:00.028800,2020-01-01 16:59:59.971200
17,17,0.708333,0.75,121.426,0.814,0.0,2020-01-01 16:59:59.971200,2020-01-01 18:00:00.000000
18,18,0.75,0.791667,121.707,0.784,0.0,2020-01-01 18:00:00.000000,2020-01-01 19:00:00.028800
19,19,0.791667,0.833333,121.63,0.817,0.0,2020-01-01 19:00:00.028800,2020-01-01 19:59:59.971200
20,20,0.833333,0.875,121.538,0.779,0.0,2020-01-01 19:59:59.971200,2020-01-01 21:00:00.000000
21,21,0.875,0.916667,121.427,0.87,0.0,2020-01-01 21:00:00.000000,2020-01-01 22:00:00.028800
22,22,0.916667,0.958333,121.369,0.745,0.0,2020-01-01 22:00:00.028800,2020-01-01 22:59:59.971200
23,23,0.958333,1.0,121.334,0.856,0.0,2020-01-01 22:59:59.971200,2020-01-02 00:00:00.000000
24,24,1.0,1.041667,121.203,0.822,0.0,2020-01-02 00:00:00.000000,2020-01-02 01:00:00.028800
25,25,1.041667,1.083333,121.479,1.047,0.0,2020-01-02 01:00:00.028800,2020-01-02 01:59:59.971200
26,26,1.083333,1.125,121.326,0.71,0.0,2020-01-02 01:59:59.971200,2020-01-02 03:00:00.000000
27,27,1.125,1.166667,121.132,0.857,0.0,2020-01-02 03:00:00.000000,2020-01-02 04:00:00.028800
28,28,1.166667,1.208333,121.095,0.772,0.0,2020-01-02 04:00:00.028800,2020-01-02 04:59:59.971200
29,29,1.208333,1.25,120.945,0.799,0.0,2020-01-02 04:59:59.971200,2020-01-02 06:00:00.000000
30,30,1.25,1.291667,120.852,0.797,0.0,2020-01-02 06:00:00.000000,2020-01-02 07:00:00.028800
31,31,1.291667,1.333333,120.519,0.741,0.0,2020-01-02 07:00:00.028800,2020-01-02 07:59:59.971200
32,32,1.333333,1.375,120.512,0.958,0.0,2020-01-02 07:59:59.971200,2020-01-02 09:00:00.000000
33,33,1.375,1.416667,120.346,0.97,0.0,2020-01-02 09:00:00.000000,2020-01-02 10:00:00.028800
34,34,1.416667,1.458333,120.685,0.863,0.0,2020-01-02 10:00:00.028800,2020-01-02 10:59:59.971200
35,35,1.458333,1.5,121.029,0.933,0.0,2020-01-02 10:59:59.971200,2020-01-02 12:00:00.000000
36,36,1.5,1.541667,121.061,0.823,0.0,2020-01-02 12:00:00.000000,2020-01-02 13:00:00.028800
37,37,1.541667,1.583333,121.537,0.886,0.0,2020-01-02 13:00:00.028800,2020-01-02 13:59:59.971200
38,38,1.583333,1.625,123.939,1.471,0.0,2020-01-02 13:59:59.971200,2020-01-02 15:00:00.000000
39,39,1.625,1.666667,126.215,0.911,0.0,2020-01-02 15:00:00.000000,2020-01-02 16:00:00.028800
40,40,1.666667,1.708333,127.044,1.133,0.0,2020-01-02 16:00:00.028800,2020-01-02 16:59:59.971200
41,41,1.708333,1.75,127.506,0.915,0.0,2020-01-02 16:59:59.971200,2020-01-02 18:00:00.000000
42,42,1.75,1.791667,127.203,0.987,0.0,2020-01-02 18:00:00.000000,2020-01-02 19:00:00.028800
43,43,1.791667,1.833333,128.604,0.928,0.0,2020-01-02 19:00:00.028800,2020-01-02 19:59:59.971200
44,44,1.833333,1.875,129.943,0.894,0.0,2020-01-02 19:59:59.971200,2020-01-02 21:00:00.000000
45,45,1.875,1.916667,130.54,0.85,0.0,2020-01-02 21:00:00.000000,2020-01-02 22:00:00.028800
46,46,1.916667,1.958333,132.878,1.124,0.0,2020-01-02 22:00:00.028800,2020-01-02 22:59:59.971200
47,47,1.958333,2.0,135.378,1.348,0.0,2020-01-02 22:59:59.971200,2020-01-03 00:00:00.000000
48,48,2.0,2.041667,135.326,1.47,0.0,2020-01-03 00:00:00.000000,2020-01-03 01:00:00.028800
49,49,2.041667,2.083333,136.01,0.945,0.0,2020-01-03 01:00:00.028800,2020-01-03 01:59:59.971200
50,50,2.083333,2.125,134.326,0.904,0.0,2020-01-03 01:59:59.971200,2020-01-03 03:00:00.000000
51,51,2.125,2.166667,134.693,0.925,0.0,2020-01-03 03:00:00.000000,2020-01-03 04:00:00.028800
52,52,2.166667,2.208333,136.127,1.497,0.0,2020-01-03 04:00:00.028800,2020-01-03 04:59:59.971200
53,53,2.208333,2.25,138.516,1.039,0.0,2020-01-03 04:59:59.971200,2020-01-03 06:00:00.000000
54,54,2.25,2.291667,139.235,0.832,0.0,2020-01-03 06:00:00.000000,2020-01-03 07:00:00.028800
55,55,2.291667,2.333333,139.792,1.281,0.0,2020-01-03 07:00:00.028800,2020-01-03 07:59:59.971200
56,56,2.333333,2.375,140.051,1.079,0.0,2020-01-03 07:59:59.971200,2020-01-03 09:00:00.000000
57,57,2.375,2.416667,142.148,1.979,0.0,2020-01-03 09:00:00.000000,2020-01-03 10:00:00.028800
58,58,2.416667,2.458333,145.018,0.802,0.0,2020-01-03 10:00:00.028800,2020-01-03 10:59:59.971200
59,59,2.458333,2.5,143.857,0.733,0.0,2020-01-03 10:59:59.971200,2020-01-03 12:00:00.000000
60,60,2.5,2.541667,143.691,0.826,0.0,2020-01-03 12:00:00.000000,2020-01-03 13:00:00.028800
61,61,2.541667,2.583333,144.02,0.823,0.0,2020-01-03 13:00:00.028800,2020-01-03 13:59:59.971200
62,62,2.583333,2.625,143.33,0.923,0.0,2020-01-03 13:59:59.971200,2020-01-03 15:00:00.000000
63,63,2.625,2.666667,145.052,1.469,0.0,2020-01-03 15:00:00.000000,2020-01-03 16:00:00.028800
64,64,2.666667,2.708333,148.903,1.576,0.0,2020-01-03 16:00:00.028800,2020-01-03 16:59:59.971200
65,65,2.708333,2.75,150.941,0.73,0.0,2020-01-03 16:59:59.971200,2020-01-03 18:00:00.000000
66,66,2.75,2.791667,151.477,1.098,0.0,2020-01-03 18:00:00.000000,2020-01-03 19:00:00.028800
67,67,2.791667,2.833333,153.293,1.762,0.0,2020-01-03 19:00:00.028800,2020-01-03 19:59:59.971200
68,68,2.833333,2.875,154.777,0.871,0.0,2020-01-03 19:59:59.971200,2020-01-03 21:00:00.000000
69,69,2.875,2.916667,154.332,0.79,0.0,2020-01-03 21:00:00.000000,2020-01-03 22:00:00.028800
70,70,2.916667,2.958333,152.865,1.039,0.0,2020-01-03 22:00:00.028800,2020-01-03 22:59:59.971200
71,71,2.958333,3.0,150.516,1.261,0.0,2020-01-03 22:59:59.971200,2020-01-04 00:00:00.000000
72,72,3.0,3.041667,149.251,0.813,0.0,2020-01-04 00:00:00.000000,2020-01-04 01:00:00.028800
73,73,3.041667,3.083333,149.254,0.789,0.0,2020-01-04 01:00:00.028800,2020-01-04 01:59:59.971200
74,74,3.083333,3.125,147.725,1.07,0.0,2020-01-04 01:59:59.971200,2020-01-04 03:00:00.000000
75,75,3.125,3.166667,147.897,0.966,0.0,2020-01-04 03:00:00.000000,2020-01-04 04:00:00.028800
76,76,3.166667,3.208333,149.156,0.841,0.0,2020-01-04 04:00:00.028800,2020-01-04 04:59:59.971200
77,77,3.208333,3.25,148.948,1.347,0.0,2020-01-04 04:59:59.971200,2020-01-04 06:00:00.000000
78,78,3.25,3.291667,148.83,1.372,0.0,2020-01-04 06:00:00.000000,2020-01-04 07:00:00.028800
79,79,3.291667,3.333333,150.779,1.018,0.0,2020-01-04 07:00:00.028800,2020-01-04 07:59:59.971200
80,80,3.333333,3.375,152.536,0.973,0.0,2020-01-04 07:59:59.971200,2020-01-04 09:00:00.000000
81,81,3.375,3.416667,153.408,0.814,0.0,2020-01-04 09:00:00.000000,2020-01-04 10:00:00.028800
82,82,3.416667,3.458333,153.284,1.208,0.0,2020-01-04 10:00:00.028800,2020-01-04 10:59:59.971200
83,83,3.458333,3.5,155.784,1.382,0.0,2020-01-04 10:59:59.971200,2020-01-04 12:00:00.000000
84,84,3.5,3.541667,153.729,0.994,0.0,2020-01-04 12:00:00.000000,2020-01-04 13:00:00.028800
85,85,3.541667,3.583333,152.035,1.242,0.0,2020-01-04 13:00:00.028800,2020-01-04 13:59:59.971200
86,86,3.583333,3.625,151.493,0.849,0.0,2020-01-04 13:59:59.971200,2020-01-04 15:00:00.000000
87,87,3.625,3.666667,151.119,1.227,0.0,2020-01-04 15:00:00.000000,2020-01-04 16:00:00.028800
88,88,3.666667,3.708333,150.503,1.165,0.0,2020-01-04 16:00:00.028800,2020-01-04 16:59:59.971200
89,89,3.708333,3.75,150.666,1.103,0.0,2020-01-04 16:59:59.971200,2020-01-04 18:00:00.000000
90,90,3.75,3.791667,144.426,3.339,0.0,2020-01-04 18:00:00.000000,2020-01-04 19:00:00.028800
91,91,3.791667,3.833333,138.711,0.86,0.0,2020-01-04 19:00:00.028800,2020-01-04 19:59:59.971200
92,92,3.833333,3.875,137.763,1.133,0.0,2020-01-04 19:59:59.971200,2020-01-04 21:00:00.000000
93,93,3.875,3.916667,136.867,1.466,0.0,2020-01-04 21:00:00.000000,2020-01-04 22:00:00.028800
94,94,3.916667,3.958333,135.799,1.45,0.0,2020-01-04 22:00:00.028800,2020-01-04 22:59:59.971200
95,95,3.958333,4.0,135.731,1.248,0.0,2020-01-04 22:59:59.971200,2020-01-05 00:00:00.000000
96,96,4.0,4.041667,135.994,1.26,0.0,2020-01-05 00:00:00.000000,2020-01-05 01:00:00.028800
97,97,4.041667,4.083333,135.285,0.969,0.0,2020-01-05 01:00:00.028800,2020-01-05 01:59:59.971200
