,index,start,end,meas,std,flag,start_date,end_date
0,0,0.0,0.041667,,99999.9999,0.682,2020-01-01 00:00:00.000000,2020-01-01 01:00:00.028800
1,1,0.041667,0.083333,528.626813,26.6329,0.0,2020-01-01 01:00:00.028800,2020-01-01 01:59:59.971200
2,2,0.083333,0.125,512.269449,27.3873,0.0,2020-01-01 01:59:59.971200,2020-01-01 03:00:00.000000
3,3,0.125,0.166667,506.698484,26.3492,0.0,2020-01-01 03:00:00.000000,2020-01-01 04:00:00.028800
4,4,0.166667,0.208333,505.526689,27.0562,0.0,2020-01-01 04:00:00.028800,2020-01-01 04:59:59.971200
5,5,0.208333,0.25,501.16098,28.5535,0.0,2020-01-01 04:59:59.971200,2020-01-01 06:00:00.000000
6,6,0.25,0.291667,496.969945,26.0162,0.0,2020-01-01 06:00:00.000000,2020-01-01 07:00:00.028800
7,7,0.291667,0.333333,496.545763,25.3648,0.0,2020-01-01 07:00:00.028800,2020-01-01 07:59:59.971200
8,8,0.333333,0.375,501.9313,24.7722,0.0,2020-01-01 07:59:59.971200,2020-01-01 09:00:00.000000
9,9,0.375,0.416667,509.700246,28.2004,0.0,2020-01-01 09:00:00.000000,2020-01-01 10:00:00.028800
10,10,0.416667,0.458333,522.291091,29.3185,0.0,2020-01-01 10:00:00.028800,2020-01-01 10:59:59.971200
11,11,0.458333,0.5,541.216064,27.1033,0.0,2020-01-01 10:59:59.971200,2020-01-01 12:00:00.000000
12,12,0.5,0.541667,,99999.9999,0.682,2020-01-01 12:00:00.000000,2020-01-01 13:00:00.028800
13,13,0.541667,0.583333,,99999.9999,0.682,2020-01-01 13:00:00.028800,2020-01-01 13:59:59.971200
14,14,0.583333,0.625,544.149604,27.1078,0.0,2020-01-01 13:59:59.971200,2020-01-01 15:00:00.000000
15,15,0.625,0.666667,537.670449,31.5821,0.0,2020-01-01 15:00:00.000000,2020-01-01 16:00:00.028800
16,16,0.666667,0.708333,,99999.9999,0.682,2020-01-01 16:00:00.028800,2020-01-01 16:59:59.971200
17,17,0.708333,0.75,548.478851,25.1011,0.0,2020-01-01 16:59:59.971200,2020-01-01 18:00:00.000000
18,18,0.75,0.791667,544.198881,26.5026,0.0,2020-01-01 18:00:00.000000,2020-01-01 19:00:00.028800
19,19,0.791667,0.833333,552.315836,25.4079,0.0,2020-01-01 19:00:00.028800,2020-01-01 19:59:59.971200
20,20,0.833333,0.875,562.708901,25.7583,0.0,2020-01-01 19:59:59.971200,2020-01-01 21:00:00.000000
21,21,0.875,0.916667,573.031548,27.7118,0.0,2020-01-01 21:00:00.000000,2020-01-01 22:00:00.028800
22,22,0.916667,0.958333,575.671685,25.6524,0.0,2020-01-01 22:00:00.028800,2020-01-01 22:59:59.971200
23,23,0.958333,1.0,573.694689,26.0956,0.0,2020-01-01 22:59:59.971200,2020-01-02 00:00:00.000000
24,24,1.0,1.041667,567.183724,25.7473,0.0,2020-01-02 00:00:00.000000,2020-01-02 01:00:00.028800
25,25,1.041667,1.083333,,99999.9999,0.682,2020-01-02 01:00:00.028800,2020-01-02 01:59:59.971200
26,26,1.083333,1.125,,99999.9999,0.682,2020-01-02 01:59:59.971200,2020-01-02 03:00:00.000000
27,27,1.125,1.166667,523.884133,26.3634,0.0,2020-01-02 03:00:00.000000,2020-01-02 04:00:00.028800
28,28,1.166667,1.208333,515.576742,26.3578,0.0,2020-01-02 04:00:00.028800,2020-01-02 04:59:59.971200
29,29,1.208333,1.25,513.871499,29.9135,0.0,2020-01-02 04:59:59.971200,2020-01-02 06:00:00.000000
30,30,1.25,1.291667,507.261287,26.6025,0.0,2020-01-02 06:00:00.000000,2020-01-02 07:00:00.028800
31,31,1.291667,1.333333,495.850575,27.2409,0.0,2020-01-02 07:00:00.028800,2020-01-02 07:59:59.971200
32,32,1.333333,1.375,491.110351,24.3946,0.0,2020-01-02 07:59:59.971200,2020-01-02 09:00:00.000000
33,33,1.375,1.416667,476.275734,25.3471,0.0,2020-01-02 09:00:00.000000,2020-01-02 10:00:00.028800
34,34,1.416667,1.458333,457.206428,27.1332,0.0,2020-01-02 10:00:00.028800,2020-01-02 10:59:59.971200
35,35,1.458333,1.5,,99999.9999,0.682,2020-01-02 10:59:59.971200,2020-01-02 12:00:00.000000
36,36,1.5,1.541667,425.933863,28.3568,0.0,2020-01-02 12:00:00.000000,2020-01-02 13:00:00.028800
37,37,1.541667,1.583333,412.816761,25.4053,0.0,2020-01-02 13:00:00.028800,2020-01-02 13:59:59.971200
38,38,1.583333,1.625,,99999.9999,0.682,2020-01-02 13:59:59.971200,2020-01-02 15:00:00.000000
39,39,1.625,1.666667,,99999.9999,0.682,2020-01-02 15:00:00.000000,2020-01-02 16:00:00.028800
40,40,1.666667,1.708333,406.239182,25.6152,0.0,2020-01-02 16:00:00.028800,2020-01-02 16:59:59.971200
41,41,1.708333,1.75,398.108991,26.6935,0.0,2020-01-02 16:59:59.971200,2020-01-02 18:00:00.000000
42,42,1.75,1.791667,402.331098,27.0919,0.0,2020-01-02 18:00:00.000000,2020-01-02 19:00:00.028800
43,43,1.791667,1.833333,409.171767,28.3096,0.0,2020-01-02 19:00:00.028800,2020-01-02 19:59:59.971200
44,44,1.833333,1.875,415.00471,25.4083,0.0,2020-01-02 19:59:59.971200,2020-01-02 21:00:00.000000
45,45,1.875,1.916667,425.300678,26.4579,0.0,2020-01-02 21:00:00.000000,2020-01-02 22:00:00.028800
46,46,1.916667,1.958333,432.070827,25.624,0.0,2020-01-02 22:00:00.028800,2020-01-02 22:59:59.971200
47,47,1.958333,2.0,438.873623,24.8676,0.0,2020-01-02 22:59:59.971200,2020-01-03 00:00:00.000000
48,48,2.0,2.041667,449.158616,28.2391,0.0,2020-01-03 00:00:00.000000,2020-01-03 01:00:00.028800
49,49,2.041667,2.083333,457.370316,24.9916,0.0,2020-01-03 01:00:00.028800,2020-01-03 01:59:59.971200
50,50,2.083333,2.125,459.530396,25.8081,0.0,2020-01-03 01:59:59.971200,2020-01-03 03:00:00.000000
51,51,2.125,2.166667,,99999.9999,0.682,2020-01-03 03:00:00.000000,2020-01-03 04:00:00.028800
52,52,2.166667,2.208333,451.721074,25.5116,0.0,2020-01-03 04:00:00.028800,2020-01-03 04:59:59.971200
53,53,2.208333,2.25,437.702537,25.7066,0.0,2020-01-03 04:59:59.971200,2020-01-03 06:00:00.000000
54,54,2.25,2.291667,,99999.9999,0.682,2020-01-03 06:00:00.000000,2020-01-03 07:00:00.028800
55,55,2.291667,2.333333,,99999.9999,0.682,2020-01-03 07:00:00.028800,2020-01-03 07:59:59.971200
56,56,2.333333,2.375,424.060974,26.6006,0.0,2020-01-03 07:59:59.971200,2020-01-03 09:00:00.000000
57,57,2.375,2.416667,423.299162,25.8414,0.0,2020-01-03 09:00:00.000000,2020-01-03 10:00:00.028800
58,58,2.416667,2.458333,423.971507,24.9933,0.0,2020-01-03 10:00:00.028800,2020-01-03 10:59:59.971200
59,59,2.458333,2.5,428.396441,27.292,0.0,2020-01-03 10:59:59.971200,2020-01-03 12:00:00.000000
60,60,2.5,2.541667,433.12572,26.2218,0.0,2020-01-03 12:00:00.000000,2020-01-03 13:00:00.028800
61,61,2.541667,2.583333,439.227312,25.3441,0.0,2020-01-03 13:00:00.028800,2020-01-03 13:59:59.971200
62,62,2.583333,2.625,443.70479,26.1137,0.0,2020-01-03 13:59:59.971200,2020-01-03 15:00:00.000000
63,63,2.625,2.666667,446.890912,26.2494,0.0,2020-01-03 15:00:00.000000,2020-01-03 16:00:00.028800
64,64,2.666667,2.708333,,99999.9999,0.682,2020-01-03 16:00:00.028800,2020-01-03 16:59:59.971200
65,65,2.708333,2.75,433.019941,26.076,0.0,2020-01-03 16:59:59.971200,2020-01-03 18:00:00.000000
66,66,2.75,2.791667,417.386025,27.9692,0.0,2020-01-03 18:00:00.000000,2020-01-03 19:00:00.028800
67,67,2.791667,2.833333,409.754221,27.6093,0.0,2020-01-03 19:00:00.028800,2020-01-03 19:59:59.971200
68,68,2.833333,2.875,407.121715,26.6448,0.0,2020-01-03 19:59:59.971200,2020-01-03 21:00:00.000000
69,69,2.875,2.916667,405.796943,28.2827,0.0,2020-01-03 21:00:00.000000,2020-01-03 22:00:00.028800
70,70,2.916667,2.958333,403.154967,25.0103,0.0,2020-01-03 22:00:00.028800,2020-01-03 22:59:59.971200
71,71,2.958333,3.0,407.328192,25.2703,0.0,2020-01-03 22:59:59.971200,2020-01-04 00:00:00.000000
